Capitulo,Artigo,Titulo_no_Regulamento,Tema_Proposto,Subtema,Eixo_Harmonizacao,Estado_no_Excel,Diplomas_Nacionais_Relevantes,Prioridade,Notas
I,Art. 1,Subject matter,Âmbito de aplicação,Objeto e finalidade do diploma,—,Parcialmente coberto,"DL 276/2001; DL 82/2019; @codigo; @rgbeac",Baixa,O @oexcel já compara âmbitos na linha de introdução. Confirmar cobertura explícita.
I,Art. 2,Material scope,Âmbito de aplicação,Âmbito material (cães e gatos; breeding/keeping/placing on market/entry),—,Parcialmente coberto,"DL 276/2001; @codigo; @rgbeac",Baixa,O @oexcel tem linha sobre 'Natureza do Diploma e âmbito de aplicação'. Verificar se inclui distinção entre colocação no mercado com/sem fins lucrativos.
I,Art. 2a,Personal scope,Âmbito de aplicação,Âmbito pessoal (operadores; pet owners; entrada na União),—,Ausente,"DL 276/2001; @codigo; @rgbeac",Média,Conceito de 'operador' é mais abrangente do que na legislação nacional — distingue criadores de detentores e de abrigos.
I,Art. 3,Definitions,Definições,Definições (30 definições — dog/cat; welfare; hybrid; breeding; keeping; placing on market; advertising; establishment; operator; etc.),—,Parcialmente coberto,"DL 276/2001; DL 82/2019; @codigo; @rgbeac",Alta,"Tema já existe no @oexcel. Verificar se todas as 30 definições do Regulamento têm correspondência ou divergência identificada. Conceitos novos: 'hybrid', 'livestock guardian dog', 'herding dog', 'foster home', 'responsible ownership', 'advertising', 'iRASFF', 'AAC Network', 'non-commercial movement'."
II,Art. 4,Exemptions from obligations,Âmbito de aplicação,Limiares de isenção por tipo e dimensão de estabelecimento,Detenção responsável,Parcialmente coberto,"DL 276/2001; @codigo; @rgbeac",Alta,"Regula limiares: criadores com ≤2 ninhadas/ano; abrigos com ≤15 animais; lares de acolhimento — isentos de parte das obrigações. Diferença estrutural face à legislação nacional que não usa estes limiares."
II,Art. 5,General welfare principles,Princípios gerais de bem-estar,Cinco princípios (nutrição; ambiente físico; saúde; comportamento; estado mental),Detenção responsável,Parcialmente coberto,"DL 276/2001; DL 82/2019; @codigo; @rgbeac",Alta,"Tema 'Princípios gerais de detenção' já existe no @oexcel. Verificar se o quinto princípio (estado mental — 'five domains') está contemplado. Conceito de bem-estar mental é inovador face ao direito nacional."
II,Art. 6,General welfare obligations,Princípios gerais de bem-estar,Obrigações gerais dos operadores; proibição de crueldade e abandono; cessação de atividade,Detenção responsável,Parcialmente coberto,"DL 276/2001; DL 82/2019; @codigo; @rgbeac",Alta,"Inclui obrigação de recolocação dos animais em caso de cessação de atividade (Art. 6(1d)) — provavelmente ausente na comparação atual."
II,Art. 6a,Breeding strategies obligations,Reprodução,Estratégias de reprodução; traços conformacionais excessivos; consanguinidade; hibridação,Reprodução,AUSENTE,"DL 276/2001; @codigo; @rgbeac",Alta,"LACUNA CRÍTICA. Nenhum tema de reprodução existe no @oexcel. Inclui: proibição de consanguinidade de 1.º grau; proibição de hibridação; exclusão de animais com traços conformacionais excessivos; atos delegados para definição de genótipos proibidos."
II,Art. 7,Notification and registration of establishments,Procedimento para o exercício da atividade,Notificação obrigatória às autoridades; informação mínima exigida; registo de estabelecimentos,Rastreabilidade,Parcialmente coberto,"DL 276/2001; @codigo; @rgbeac; Portaria 146/2017",Alta,"Tema 'Procedimento para o exercício da atividade' já existe. Verificar se a obrigação de notificação prévia de cessação (≥5 dias úteis) está coberta."
II,Art. 7a,Approval of breeding establishments,Procedimento para o exercício da atividade,Aprovação obrigatória de criadores com >5 ninhadas/ano; inspeção prévia; lista pública,Rastreabilidade,Ausente,"DL 276/2001; @codigo; @rgbeac; Portaria 146/2017",Alta,"Regime de aprovação formal (distinto do mero registo) para grandes criadores — sem equivalente claro na legislação nacional. Lista pública de aprovados é obrigação nova."
II,Art. 8,Responsible ownership information,Detenção responsável,Obrigação de o operador fornecer informação escrita sobre bem-estar ao adquirente,Detenção responsável,Parcialmente coberto,"DL 276/2001; @codigo; @rgbeac",Alta,"Tema 'Normas de transmissão' cobre parcialmente. Verificar se a informação escrita obrigatória sobre saúde (vacinação; doenças; historial médico) está detalhada na comparação."
II,Art. 9,Animal welfare competences of caretakers,Formação,Competências obrigatórias dos tratadores de animais; educação/formação/experiência profissional; certificação,Detenção responsável,Parcialmente coberto,"@codigo; @rgbeac",Alta,"Tema 'Formação' existe. Verificar: (1) obrigação de pelo menos um tratador certificado por estabelecimento; (2) papel das autoridades competentes na aprovação e certificação dos cursos."
II,Art. 10,Advisory welfare visits,Visitas de bem-estar veterinárias,Visita veterinária no 1.º ano de atividade; registo das conclusões; atos delegados sobre critérios mínimos,Detenção responsável,AUSENTE,"DL 276/2001; @codigo; @rgbeac",Alta,"LACUNA. Não existe tema de visitas veterinárias obrigatórias de bem-estar no @oexcel. Obrigação nova sem equivalente explícito na legislação nacional."
II,Art. 11 + Anexo I(1),Feeding and watering,Alimentação e abeberamento,Frequência de alimentação (mínimo 2x/dia); colostro; desmame gradual (≥7 dias; ≥8 semanas); água ad libitum,Detenção responsável,AUSENTE,"DL 276/2001; @rgbeac",Alta,"LACUNA. Não existe tema de alimentação no @oexcel. O Regulamento fixa regras quantitativas específicas (frequência; desmame; temperatura da cama)."
II,Art. 12 + Anexo I(2),Housing,Alojamentos — Condições gerais,Condições dos alojamentos: temperatura; iluminação (≥7h/dia; espectro completo); espaço mínimo (tabelas); acesso ao exterior (cães >8 sem.); proibição de contentores como alojamento permanente,Detenção responsável,Parcialmente coberto,"DL 276/2001; @codigo; @rgbeac",Alta,"Tema existe. Verificar se as tabelas de espaço mínimo (m²/cão por altura; m²/gato) e as exigências de iluminação (80Hz; espectro) têm correspondência na legislação nacional."
II,Art. 13 + Anexo I(3),Health,Cuidados de saúde animal,Inspeção diária; isolamento de animais doentes; eutanásia quando necessária; prevenção de parasitas e doenças; condições de reprodução (idades mínimas; máximo 3 ninhadas/2 anos; cesarianas),Detenção responsável / Reprodução,Parcialmente coberto,"DL 276/2001; @codigo; @rgbeac",Alta,"Tema 'Cuidados de saúde animal' existe mas as condições de reprodução (Anexo I pt. 3) são LACUNA. Idades mínimas de reprodução: cadelas a partir do 2.º estro; gatas ≥10 meses. Máximo 3 ninhadas em 2 anos."
II,Art. 14 + Anexo I(4),Behavioural needs,Necessidades comportamentais,Socialização (a partir das 3 semanas); enriquecimento ambiental; separação da mãe (≥8 sem. cães; ≥8 sem. gatos em abrigos); proibição de acorrentamento >1h; comportamentos sociais não nocivos,Detenção responsável,AUSENTE,"DL 276/2001; @codigo; @rgbeac",Alta,"LACUNA. Não existe tema autónomo de necessidades comportamentais no @oexcel. O Regulamento faz disto um capítulo próprio com obrigações detalhadas e prazos (socialização desde 3 semanas)."
II,Art. 15,Painful practices / Mutilations,Intervenções cirúrgicas / Amputações / Mutilações,Proibição de mutilações; exceções terapêuticas; esterilização com anestesia; proibição de práticas dolorosas (coleiras de estrangulamento; choques; etc.),Detenção responsável,Parcialmente coberto,"DL 276/2001; @codigo; @rgbeac",Alta,"Tema existe. Verificar: lista específica de práticas proibidas (prong collars; choke collars; lifting por membros/cauda); derogação para cães militares."
II,Art. 15a,Aesthetic shows exhibitions and competitions,Exposições e competições estéticas,Proibição de uso em exposições de animais com traços conformacionais excessivos; exclusão pelos organizadores,Reprodução / Detenção responsável,AUSENTE,"@codigo; @rgbeac",Média,"LACUNA. Não existe tema de exposições estéticas no @oexcel. Artigo diretamente ligado ao Art. 6a (conformação excessiva)."
III,Art. 17 + Anexo II,Identification and registration,Identificação e registo,Identificação obrigatória por transponder (ISO 11784/11785) de todos os cães e gatos; prazo de 3 meses após nascimento; registo em base de dados nacional em 2 dias úteis; obrigação do veterinário,Rastreabilidade,Parcialmente coberto,"DL 276/2001; DL 82/2019; @codigo; @rgbeac",Alta,"Tema existe. Verificar: prazo de registo (2 dias úteis após identificação); obrigação de registo em nome do operador enquanto em estabelecimento; registo da morte; transponder ilegível."
III,Art. 17a,Online advertising and placing on the market,Publicidade online e colocação no mercado,Obrigações de publicidade online (token de verificação; aviso obrigatório 'An animal is not a toy'); sistema de verificação da Comissão; responsabilidade das plataformas digitais,Rastreabilidade,Parcialmente coberto,"DL 276/2001; @codigo; @rgbeac",Alta,"Tema 'Normas de transmissão' cobre apenas parcialmente. A obrigação de token de verificação único e o aviso textual obrigatório em todos os anúncios são obrigações completamente novas sem equivalente nacional."
IV,Art. 18,Training (competent authorities),Formação,Responsabilidade das autoridades competentes pelos cursos de formação; aprovação e certificação,Detenção responsável,Parcialmente coberto,"@codigo; @rgbeac",Média,"Complementa Art. 9. Verificar se a legislação nacional atribui às autoridades competentes esta função de aprovação e certificação de cursos."
IV,Art. 19,Databases,Bases de dados nacionais e interoperabilidade,Bases de dados nacionais obrigatórias; índice europeu (Comissão); interoperabilidade; requisitos mínimos de conteúdo,Rastreabilidade,AUSENTE,"DL 276/2001; DL 82/2019; @codigo; @rgbeac",Alta,"LACUNA. O SIAC existe na legislação nacional mas a interoperabilidade europeia e o índice da Comissão são obrigações completamente novas. Verificar compatibilidade do SIAC com requisitos mínimos do Regulamento."
IV,Art. 20,Data collection and reporting,Monitorização e relatórios,Recolha de dados pelos Estados-Membros (Anexo III); relatório à Comissão; metodologia harmonizada,Rastreabilidade,AUSENTE,"@codigo; @rgbeac",Média,"LACUNA. Obrigação de recolha e reporte sistemático de dados (n.º de estabelecimentos; n.º de animais registados; aprovações; suspensões) — sem equivalente explícito na legislação nacional."
IV,Art. 20a,Data protection,Proteção de dados pessoais,Responsável pelo tratamento (autoridades/Comissão); prazos de retenção (7 anos estabelecimentos; 25 anos registos animais; 5 anos viajantes); proibição de uso secundário,—,AUSENTE,"DL 276/2001; @codigo; @rgbeac",Baixa,"LACUNA. Não existe tema de proteção de dados no @oexcel. É uma questão transversal com impacto no SIAC e futuras bases de dados."
V,Art. 21,Entry into the Union,Entrada de cães e gatos na União (importação),Condições de entrada para colocação no mercado; certificação veterinária; identificação prévia à entrada; registo na base de dados nacional; movimentos não comerciais e pré-notificação,Rastreabilidade,AUSENTE,"DL 276/2001; DL 82/2019",Alta,"LACUNA. Não existe tema de importação/entrada na União no @oexcel. Artigo com forte impacto no combate ao tráfico ilegal. Os movimentos não comerciais (animais de companhia de viajantes) têm regime específico."
VI,Art. 22-24,Procedural provisions — delegated and implementing acts,Disposições procedimentais,Poderes de atos delegados e de execução da Comissão; procedimento de comité,—,Ausente,—,Baixa,Artigos de carácter procedimental sem correspondência direta na legislação nacional. Relevante para acompanhamento futuro de atos delegados.
